% Data for Ks = 3

0.0125	1.44230731206533
0.0375	0.811371247144665
0.0625	0.371469391969161
0.0875	0.0359300564384446
0.1125	-0.237819250213733
0.1375	-0.470993884469744
0.1625	-0.674849591384987
0.1875	-0.855844171176201
0.2125	-1.0179416099959
0.2375	-1.1636842563111
0.2625	-1.29472918248842
0.2875	-1.41213946867681
0.3125	-1.5165558650699
0.3375	-1.60830701210772
0.3625	-1.68748784371511
0.3875	-1.75402265683984
0.4125	-1.80772231172128
0.4375	-1.84834020436235
0.4625	-1.8756274007481
0.4875	-1.88938339056854
0.5125	-1.88949607964574
0.5375	-1.87596410408558
0.5625	-1.8488969407839
0.5875	-1.80849278737884
0.6125	-1.75499869481268
0.6375	-1.6886598545615
0.6625	-1.60966443337848
0.6875	-1.51808752455918
0.7125	-1.41383385371768
0.7375	-1.29657461739985
0.7625	-1.1656690001444
0.7875	-1.02005388886665
0.8125	-0.85807215650916
0.8375	-0.677181328926129
0.8625	-0.473417165873835
0.8875	-0.240321379673829
0.9125	0.0333627886899723
0.9375	0.368853172178572
0.9625	0.808728901709175
0.9875	1.43967836979958
